Место,Город,1989 г.,ПОД,Год ПОД,Место ПОД,Изм.,Республика,Нынешнее назв.,Запись
159,Тернополь,204845,217171,2018,168,-9,Украинская ССР,Тернополь,Тернополь 144 205 143
160,Псков,204000,211000,2018,174,-14,Российская СФСР,Псков,Псков 176 204 116
161,Клайпеда,202929,164310,2018,198,-37,Литовская ССР,Клайпеда,Клайпеда 176 204 116
162,Березники,201000,143000,2018,218,-56,Украинская ССР,Березники,Березники 185 201 109
163,Фергана,200373,340600,2014,100,63,Узбекская ССР,Фергана,Фергана 176 200 114
164,Уральск,199522,300128,2017,115,49,Казахская ССР,Уральск,Уральск 167 200 120
165,Краматорск,198094,157627,2017,202,-37,Украинская ССР,Краматорск,Краматорск 178 198 111
166,Луцк,197724,217033,2017,169,-3,Украинская ССР,Луцк,Луганск 463 497 107
167,Балаково,197000,190000,2018,180,-13,Украинская ССР,Балаково,Балаково 152 197 130
168,Белая Церковь,196878,206441,2017,175,-7,Украинская ССР,Белая Церковь,Белая Церковь 151 197 130
169,Нижнекамск,191000,238000,2018,150,19,Российская СФСР,Нижнекамск,Нижнекамск 134 191 142
170,Новочеркасск,188000,169000,2017,195,-25,Российская СФСР,Новочеркасск,Новочеркасск 183 188 103
171,Якутск,187000,312000,2018,111,60,Российская СФСР,Якутск,Якутск 152 187 122
172,Новороссийск,186000,273000,2018,130,42,Российская СФСР,Новороссийск,Новороссийск 159 186 117
173,Коканд,182073,233500,2016,155,18,Узбекская ССР,Коканд,Коканд 153 182 119
174,Тирасполь,182000,128807,2015,227,-53,Молдавская ССР,Тирасполь,Тирасполь 139 182 131
175,Энгельс,181000,226000,2017,160,15,Российская СФСР,Энгельс,Энгельс 161 181 112
176,Волгодонск,176000,171000,2017,193,-17,Российская СФСР,Волгодонск,Волгодонск 91 176 192
177,Норильск,175000,181000,2018,186,-9,Российская СФСР,Норильск,Норильск 180 175 97
178,Керчь,174000,151000,2018,208,-30,Украинская ССР,Керчь,Керчь 157 174 111
179,Старый Оскол,174000,224000,2018,163,16,Российская СФСР,Старый Оскол,Старый Оскол 115 174 151
180,Сызрань,174000,173000,2017,190,-10,Российская СФСР,Сызрань,Сызрань 166 174 105
