Место,Город,1989 г.,ПОД,Год ПОД,Место ПОД,Изм.,Республика,Нынешнее назв.,Запись
245,Ачинск,122000,106000,2018,261,-16,Российская СФСР,Ачинск,Ачинск 117 122 104
246,Камышин,122000,111000,2018,251,-5,Российская СФСР,Камышин,Камышин 112 122 110
247,Орша,121700,115052,2018,242,5,Белорусская ССР,Орша,Орша 112 123 110
248,Невинномысск,121000,117000,2018,241,7,Российская СФСР,Невинномысск,Невиниомысск 104 121 117
249,Сухуми,121000,64441,2015,295,-46,Грузинская ССР,Сухум,Сухуми 114 121 106
250,Енакиево,120332,123884,2017,234,16,Украинская ССР,Енакиево,Енакиево 114 120 105
251,Елец,120000,104000,2018,262,-11,Российская СФСР,Елец,Елец 112 120 108
252,Талды-Курган,118623,173000,2018,190,62,Казахская ССР,Талдыкорган,Талды-Курган 88 119 135
253,Пинск,118300,137961,2018,224,29,Белорусская ССР,Пинск,Пинск 90 119 132
254,Ужгород,117061,113888,2017,247,7,Украинская ССР,Ужгород,Ужгород 91 117 129
255,Воркута,116000,58133,2017,296,-41,Российская СФСР,Воркута,Воркута 100 116 115
256,Загорск,115000,103000,2018,264,-8,Российская СФСР,Сергиев Посад,Загорск 107 115 107
257,Новочебоксарск,115000,127000,2018,229,28,Российская СФСР,Новочебоксарск,Новочебоксарск 85 115 135
258,Лиепая,114462,69443,2017,294,-36,Латвийская ССР,Лиепая,Лиепая 108 114 106
259,Алмалык,114331,121100,2014,236,23,Узбекская ССР,Алмалык,Алмалык 101 114 113
260,Великие Луки,114000,91435,2018,281,-21,Российская СФСР,Великие Луки,Великие Луки 102 114 112
261,Кисловодск,114000,130000,2018,225,36,Российская СФСР,Кисловодск,Кисловодск 101 114 113
262,Тарту,113420,93124,2017,279,-17,Эстонская ССР,Тарту,Тарту 105 114 109
263,Красный Луч,113278,118713,2017,239,24,Украинская ССР,Красный Луч,Красный Луч 106 113 107
264,Новокуйбышевск,113000,103000,2018,264,0,Российская СФСР,Новокуйбышевск,Новокуйбышевск 109 113 104
265,Черкесск,113000,122000,2018,235,30,Российская СФСР,Черкесск,Черкесск 91 113 124
266,Стаханов,112023,88101,2017,286,-20,Украинская ССР,Кадиевка,Стаханов 108 112 104
267,Ташауз,111000,275278,2012,128,139,Туркменская ССР,Дашогуз,Ташауз 84 111 133
268,Ухта,111000,97806,2017,272,-4,Российская СФСР,Ухта,Ухта 87 111 126
269,Канск,110000,90231,2017,284,-15,Российская СФСР,Канск,Канск 101 110 109
270,Сарапул,110000,97910,2017,270,0,Российская СФСР,Сарапул,Сарапул 107 110 103
271,Северск,110000,107000,2018,256,15,Российская СФСР,Северск,Семипалатинск 283 334 118
272,Соликамск,110000,94628,2017,275,-3,Российская СФСР,Соликамск,Соликамск 101 110 109
273,Арзамас,109000,104000,2018,262,11,Российская СФСР,Арзамас,Арзамас 93 109 117
274,Мичуринск,109000,93690,2017,277,-3,Российская СФСР,Мичуринск,Мичуринск 101 109 108
275,Усть-Илимск,109000,82455,2017,289,-14,Российская СФСР,Усть-Илимск,Усть- Илимск 69 109 159
276,Щёлково,109000,126000,2018,230,46,Российская СФСР,Щёлково,Щелково 100 109 109
277,Анжеро-Судженск,108000,71787,2017,293,-16,Российская СФСР,Анжеро-Судженск,Анжеро-Судженск 105 108 103
278,Евпатория,108000,107000,2018,256,22,Украинская ССР,Евпатория,Евпатория 93 108 116
279,Новошахтинск,108000,109000,2017,253,26,Российская СФСР,Новошахтинск,Новошахтинск 104 108 103
280,Константиновка,107562,72888,2017,292,-12,Украинская ССР,Константиновка,Константиновка 112 108 96
281,Навои,107115,215500,2017,171,110,Узбекская ССР,Навои,Навои 84 107 127
282,Джезказган,107053,90458,2016,283,-1,Казахская ССР,Жезказган,Джезказган 89 109 122
283,Междуреченск,107000,97895,2017,271,12,Российская СФСР,Междуреченск,Междуреченск 91 107 117
284,Нефтекамск,107000,139000,2018,222,62,Российская СФСР,Нефтекамск,Нефтекамск 70 107 153
285,Джизак,106087,160200,2013,199,86,Узбекская ССР,Джизак,Джизак 70 106 153
286,Новотроицк,106000,95139,2017,274,12,Российская СФСР,Новотроицк,Новотроицк 95 106 112
287,Усолье-Сибирское,106000,77989,2017,291,-4,Российская СФСР,Усолье-Сибирское,Усолье-Сибирское 103 106 104
288,Кинешма,105000,83871,2017,287,1,Российская СФСР,Кинешма,Кинешма 101 105 104
289,Октябрьский,105000,114000,2018,246,43,Российская СФСР,Октябрьский,Октябрьский 88 105 119
290,Воткинск,104000,98063,2017,269,21,Российская СФСР,Воткинск,Воткинск 90 104 115
291,Глазов,104000,93628,2017,278,13,Российская СФСР,Глазов,Глазов 81 104 128
292,Александрия,102611,82207,2017,290,2,Украинская ССР,Александрия,Александрия 82 103 125
293,Каменец-Подольский,102236,100406,2017,267,26,Украинская ССР,Каменец-Подольский,Каменец-Подольский 84 102 121
294,Жуковский,101000,108000,2018,254,40,Российская СФСР,Жуковский,Жуковский 90 101 111
295,Мозырь,101000,111733,2018,250,45,Белорусская ССР,Мозырь,Мозырь 73 100 136
296,Обнинск,100000,115000,2018,243,53,Российская СФСР,Обнинск,Обнинск 73 100 136
